用户ID,泡面,沙琪玛,泡腾片,橙子,苹果,梨,酒精棉
3nV5QejUYm,0,0,0,0,0,1,0
8N2zTvS68f,0,0,0,0,0,0,0
UoloVuFMj8,0,0,2,0,0,0,0
OZMD6pzuXt,0,0,0,0,0,0,0
63KcTPuvWx,2,0,0,0,1,0,0
FG8fPTE4Ij,0,0,0,0,0,0,0
rM8P8qyX2m,0,2,0,0,1,0,0
Z1NJGqFY14,0,0,0,0,0,0,0
chXxZ4td8A,0,0,0,0,0,0,1
ghMpMOEyyx,0,0,0,0,1,0,0
5U9YuzPlZi,0,0,0,0,0,1,0
Pc19OfMDPS,1,0,0,0,2,0,0
lEyDMnxAhl,0,0,0,2,0,0,0
sd1seFJjTt,0,0,2,0,0,0,0
yKVo5p9e2y,0,1,0,0,0,0,0
6L92OKm2ZI,0,0,0,0,0,0,0
kIMh3f6KS1,0,0,0,0,0,0,0
0QSkEYJHL8,0,0,0,0,0,0,0
NvyxFiYSGc,0,0,0,0,0,0,0
3dhwXkiZgb,0,0,0,0,0,0,0
NacW1ruNp3,0,0,0,0,0,0,0
Lge1AG89OD,0,0,0,0,0,0,0
KtwiGdD2Ai,0,3,0,0,0,0,0
myb2ieDwds,0,0,0,0,0,0,0
ZiTfXMr9Kw,0,0,0,0,0,2,1
OWFu2jtgtH,0,0,0,3,1,0,1
zvWsrUReDu,0,1,0,0,0,0,2
Lmdjv6XT26,0,0,1,0,0,0,0
8AaLKfBrNK,0,1,0,0,0,0,0
a3acIjiD8E,0,0,0,0,0,0,0
JsqTKQ6A4U,0,0,0,1,0,0,1
8zHvn2JjpP,0,0,0,2,0,0,0
LqRCycCeOk,0,0,0,0,3,2,0
ohVTvFlKvS,0,0,0,1,0,0,0
06G3FoZznC,0,1,0,0,0,0,0
Q2HyqDdLca,0,0,0,0,0,0,0
hgGEnZ5KA4,0,0,1,0,1,3,0
Qem4LAQBJZ,0,0,0,0,0,0,0
eaEtjLaEI5,0,0,0,0,0,0,0
Y8PDVq5eYx,0,0,0,0,0,0,0
z2RrM15MQd,0,0,0,1,0,0,0
PGy2Xoqm0K,0,0,0,0,0,0,0
QxqfqZVq1K,0,0,0,0,2,0,0
IFudiDHd4z,0,0,0,0,2,0,0
kLsuT39mGy,3,0,0,0,0,2,0
wk8EMNi4jo,3,0,0,1,0,2,0
HI1HHvi4pk,0,0,0,0,0,0,0
3weefKjPx0,0,0,0,0,0,0,3
b0A83e3CLD,0,0,0,0,0,0,0
HYZH6RGWb4,0,0,0,0,0,0,0
OsfnSlqopk,0,0,2,0,0,0,0
ccNbZycBFe,0,0,0,0,0,0,0
ekapSlbmPo,0,0,0,2,0,0,0
liTXh9rzs3,0,0,0,0,0,0,0
IXtzm2czQu,0,0,0,0,0,0,0
uP8TTc2MMc,0,0,0,0,0,0,0
iTiLYWezcC,0,0,0,0,0,0,0
K6p8aGAnMG,0,0,0,0,0,0,0
ytMydCgrnq,0,0,0,0,0,0,0
umPIlE8YNS,0,0,0,0,0,0,0
ZKfWybgjSB,0,0,0,0,0,2,0
aWdvit143L,0,0,1,0,0,0,0
w6IEVKdiYm,1,0,0,0,0,0,0
jfHe0MfFpu,0,0,0,0,0,0,2
dRnbO1puDY,0,0,0,1,0,1,1
pAmGKW5IYK,0,0,0,0,0,0,0
85x2YYGJ4d,0,2,0,0,0,0,0
OF9gqcZC6x,0,0,0,0,0,0,0
1xeIp4jDNp,0,0,0,0,0,0,0
2nSlZZMTtM,0,0,0,0,0,0,0
yI48etgoez,0,0,0,0,0,0,0
qV3Ec4aMp4,0,0,0,0,0,0,0
HRbUn6IUeA,2,0,0,0,0,0,0
yKNMIVDtCW,1,3,0,0,0,0,0
6VflO6DQ1T,0,0,1,0,0,0,0
3NnDSg34Mw,0,1,0,0,0,1,0
J5qCszUAjc,0,1,0,0,2,0,0
tY4j01zBQn,0,0,0,0,0,0,0
MnraH9ohlX,0,0,0,0,0,0,0
2cr0eTQpY5,0,0,0,0,0,0,0
4DZyKLpMvQ,0,0,0,0,0,0,0
eFRnRruTBp,0,0,0,0,1,0,0
weDFoGxuLP,0,1,0,0,0,0,2
HvdnNBBYi5,0,0,0,0,1,0,0
rFLRFG9cHi,0,0,0,0,0,0,0
KZFlN3o8nM,0,0,0,0,0,0,0
l8C4KMiI4N,0,0,0,0,0,0,0
deNmEbVdRv,0,1,2,2,0,0,1
NGte69eYj6,0,0,0,0,0,0,0
w0IJAA5fgy,0,0,0,0,0,0,0
B155GBULIQ,0,0,0,0,2,0,0
Uz0ipW6AW9,0,0,0,0,0,0,0
y9uQtuQBpX,0,0,1,0,0,0,0
wNEWKQwY84,0,0,0,0,0,0,0
xXjyvtivLw,0,0,0,0,1,0,0
vvsq2g1btD,0,0,0,1,0,0,0
6pfqfJKX06,0,0,0,0,2,0,0
iCqlbLw9Dg,0,0,0,0,0,0,0
3psRiTvZjo,0,0,0,0,0,0,0
wfbcTll95P,0,0,0,0,0,0,0
GxsSyuOSza,2,0,0,0,0,0,0
n6p0oMgxUh,0,0,0,0,0,0,0
hVslbQJe4o,0,1,0,0,0,0,0
DwmtLtoQzP,0,0,0,0,0,0,0
QC9pSWzGvy,0,0,3,0,0,0,0
hEGbG0IrnQ,0,0,0,0,0,0,0
qQX6xEfbl0,0,1,0,0,0,0,0
Ty0sNukiPD,0,0,2,0,0,0,0
LpNLE9msBQ,0,0,0,0,0,0,0
WshRc9IpvR,0,0,0,0,0,0,0
GGyTVflq2L,0,0,0,1,1,1,1
EFRqfziBGz,0,0,0,0,0,0,0
ODpWZVTyKY,0,0,0,0,0,0,0
VgOVmkGwik,0,0,0,0,0,0,0
5JeqjmI5SZ,0,0,0,0,0,2,0
mEuCjvl4VK,0,0,0,0,0,0,0
8dDyetNjzO,0,0,2,1,0,0,0
ciI4h68Vat,0,0,0,0,0,1,0
Q4llIoAIGf,0,0,0,0,0,0,0
OuQGOmCB6N,3,0,0,0,0,0,1
klEbAGoaiL,0,2,0,0,0,0,0
inmSRoPJzv,0,0,0,0,0,0,0
GTCQfTYLUx,0,0,0,0,0,0,0
YHrEzpCYr5,0,0,0,0,0,0,0
FfwvTm5q3I,0,0,0,0,0,0,0
tK4yK0C9Jm,0,0,0,0,0,0,1
qbeiFqk4GL,0,0,0,0,0,0,0
lX6gpVAldu,0,0,0,0,0,0,0
WRZcnacQH6,0,0,2,0,0,0,0
KWpE9ZpIxo,0,0,0,0,0,0,0
f8sEvNnWMY,0,0,0,0,0,0,0
nXgNdE0fSZ,0,0,0,0,0,0,1
r6negGy4sb,0,0,0,0,0,0,0
rCGKsgFzFy,0,0,0,0,0,0,0
Z4UVlB55vQ,0,0,0,3,0,0,1
RrGLIJHP9C,0,0,0,0,0,0,0
9WSRYjZTfc,0,0,0,0,0,0,0
keeravqlHq,0,0,0,0,0,0,0
otNWKgDmP8,0,0,0,0,0,0,0
gRdcDuD5yN,0,0,0,0,0,0,0
xxOR6xjwIe,0,1,0,0,0,0,0
dbyf4Ivd2d,0,0,1,0,0,0,0
jKXCzzI4nj,0,0,0,0,0,0,0
Tv4Zhez9Pt,0,0,0,0,0,0,0
qRYXEr8MQY,0,0,0,0,0,0,0
REiyyhu1Vp,0,0,0,0,0,0,0
Q58fEFt1WP,0,0,0,0,0,0,0
V52meshYgo,1,0,0,0,1,0,0
24k9vxWuP6,0,0,0,0,0,0,0
lFONdZlBEU,2,0,0,0,0,0,0
DROGjkgwiF,0,0,0,0,0,0,0
NZusXQhfl5,0,0,0,0,0,0,0
CJqCOUW3ri,0,0,0,0,1,0,0
nHkiCAvgKZ,0,0,0,0,0,0,0
ZOJlgC26ht,0,0,1,0,0,0,0
IzKxgbGTlS,0,0,0,0,0,0,0
aoMqPUxbSG,2,0,0,0,0,0,0
wMo5mpsUto,0,1,0,0,0,1,1
VfN8BYABLf,0,0,0,0,0,0,0
hXo1gVnvDS,1,0,0,1,0,0,0
oGY68uF2wI,0,0,1,0,0,0,0
DvYRzqgPHa,0,0,0,0,0,0,0
J5YMCTOxZ3,0,0,0,0,0,0,0
yjoDmZd1xN,0,0,0,0,0,0,0
ln0rfexXCh,0,0,0,0,1,0,0
c4EJXJJgjv,0,0,0,0,0,0,0
JazwvAOrXG,0,0,0,0,0,0,0
pvwYGrwheq,0,1,0,0,2,0,0
g0Hxt1rvJW,0,0,1,0,0,0,0
o69fEWpvzs,0,0,0,0,0,0,0
HcXNCQnqQ6,0,0,0,0,0,0,0
jOOMCKZRVe,0,0,0,0,0,0,0
A8iQnaqUoF,0,0,0,1,0,0,0
4JU2XLpych,0,0,0,0,0,0,0
221sh0wM6a,1,0,0,0,0,1,0
CN2KPaZyW9,0,0,0,0,0,0,0
4DuFGRZpFD,0,2,0,0,0,0,0
ejcMCXnwG9,1,0,0,0,0,0,0
5eYyvlJpRh,0,0,0,0,0,0,0
UvaCVmckMY,0,0,0,0,0,0,0
0mqzI6lPTe,0,0,0,0,1,0,0
BOAPj9KeRm,0,0,0,0,0,0,0
XimvYrwkCe,0,0,0,0,0,0,0
jKKSLB9lKV,0,0,0,0,0,0,0
