ts_code,name,start_date,end_date,ann_date,change_reason
301236.SZ,软通动力,20220315,,,其他
603261.SH,立航科技,20220315,,,其他
688175.SH,高凌信息,20220315,,,其他
301131.SZ,聚赛龙,20220314,,,其他
688331.SH,荣昌生物,20220314,,,其他
688115.SH,思林杰,20220314,,,其他
603209.SH,兴通股份,20220314,,,其他
832419.BJ,路斯股份,20220311,,20220309,其他
688163.SH,赛伦生物,20220311,,,其他
301110.SZ,青木股份,20220311,,,其他
301237.SZ,和顺科技,20220311,,,其他
688193.SH,仁度生物,20220311,,,其他
688197.SH,首药控股,20220311,,,其他
688238.SH,和元生物,20220310,,,其他
301102.SZ,兆讯传媒,20220310,,,其他
603070.SH,万控智造,20220310,,,其他
688306.SH,均普智能,20220310,,,其他
301226.SZ,祥明智能,20220310,,,其他
301263.SZ,泰恩康,20220310,,,其他
301216.SZ,万凯新材,20220309,,,其他
301222.SZ,浙江恒威,20220309,,,其他
301256.SZ,华融化学,20220309,,,其他
301103.SZ,何氏眼科,20220309,,,其他
301137.SZ,哈焊华通,20220309,,,其他
301258.SZ,富士莱,20220309,,,其他
301226.SZ,祥明智能,20220309,,,其他
603051.SH,鹿山新材,20220308,,,其他
301215.SZ,中汽股份,20220308,,,其他
688282.SH,理工导航,20220307,,,其他
301219.SZ,腾远钴业,20220307,,,其他
688281.SH,华秦科技,20220307,,,其他
301218.SZ,华是科技,20220307,,,其他
688150.SH,莱特光电,20220307,,,其他
001308.SZ,康冠科技,20220307,,,其他
301237.SZ,和顺科技,20220304,,,其他
688207.SH,格灵深瞳,20220304,,,其他
835179.BJ,凯德石英,20220304,,20220302,其他
688102.SH,斯瑞新材,20220304,,,其他
688197.SH,首药控股,20220304,,,其他
301236.SZ,软通动力,20220303,,,其他
688238.SH,和元生物,20220303,,,其他
688175.SH,高凌信息,20220303,,,其他
688306.SH,均普智能,20220303,,,其他
301102.SZ,兆讯传媒,20220303,,,其他
301256.SZ,华融化学,20220302,,,其他
301103.SZ,何氏眼科,20220302,,,其他
301137.SZ,哈焊华通,20220302,,,其他
603261.SH,立航科技,20220302,,,其他
688115.SH,思林杰,20220302,,,其他
301110.SZ,青木股份,20220301,,,其他
301131.SZ,聚赛龙,20220301,,,其他
603261.SH,立航科技,20220301,,,其他
301219.SZ,腾远钴业,20220301,,,其他
603070.SH,万控智造,20220228,,,其他
001266.SZ,宏英智能,20220228,,,其他
688282.SH,理工导航,20220228,,,其他
871857.BJ,泓禧科技,20220228,,,其他
301200.SZ,大族数控,20220228,,,其他
688150.SH,莱特光电,20220228,,,其他
001308.SZ,康冠科技,20220228,,,其他
688207.SH,格灵深瞳,20220225,,,其他
688102.SH,斯瑞新材,20220225,,,其他
301222.SZ,浙江恒威,20220225,,,其他
688163.SH,赛伦生物,20220225,,,其他
688175.SH,高凌信息,20220224,,,其他
301236.SZ,软通动力,20220224,,,其他
000737.SZ,北方铜业,20220224,,20220224,改名
688281.SH,华秦科技,20220223,,,其他
833346.BJ,威贸电子,20220223,,,其他
688115.SH,思林杰,20220223,,,其他
301130.SZ,西点药业,20220223,,,其他
301215.SZ,中汽股份,20220223,,,其他
603132.SH,金徽股份,20220222,,,其他
301218.SZ,华是科技,20220222,,,其他
301229.SZ,纽泰格,20220222,,,其他
301110.SZ,青木股份,20220222,,,其他
603070.SH,万控智造,20220221,,,其他
603209.SH,兴通股份,20220221,,,其他
301181.SZ,标榜股份,20220221,,,其他
301218.SZ,华是科技,20220221,,,其他
301207.SZ,华兰疫苗,20220218,,,其他
002354.SZ,天娱数科,20220218,,20220218,改名
603215.SH,比依股份,20220218,,,其他
301222.SZ,浙江恒威,20220218,,,其他
688163.SH,赛伦生物,20220218,,,其他
688267.SH,中触媒,20220216,,,其他
001313.SZ,粤海饲料,20220216,,,其他
688281.SH,华秦科技,20220216,,,其他
603122.SH,合富中国,20220216,,,其他
301215.SZ,中汽股份,20220216,,,其他
002534.SZ,西子洁能,20220216,,20220216,改名
001266.SZ,宏英智能,20220216,,,其他
301200.SZ,大族数控,20220215,,,其他
688282.SH,理工导航,20220215,,,其他
688283.SH,坤恒顺维,20220215,,,其他
002322.SZ,理工能科,20220214,,20220212,其他
603209.SH,兴通股份,20220214,,,其他
301130.SZ,西点药业,20220211,,,其他
603132.SH,金徽股份,20220210,,,其他
688261.SH,东微半导,20220210,,,其他
301206.SZ,三元生物,20220210,,,其他
603322.SH,ST超讯,20220209,,20220208,ST
688225.SH,亚信安全,20220209,,,其他
301229.SZ,纽泰格,20220209,,,其他
001266.SZ,宏英智能,20220209,,,其他
000593.SZ,德龙汇能,20220208,,20220208,改名
301181.SZ,标榜股份,20220208,,,其他
603215.SH,比依股份,20220208,,,其他
301207.SZ,华兰疫苗,20220207,,,其他
301235.SZ,华康医疗,20220128,,,其他
301228.SZ,实朴检测,20220128,,,其他
301106.SZ,骏成科技,20220128,,,其他
688267.SH,中触媒,20220128,,,其他
301130.SZ,西点药业,20220128,,,其他
301200.SZ,大族数控,20220128,,,其他
603122.SH,合富中国,20220128,,,其他
688270.SH,臻镭科技,20220127,,,其他
301217.SZ,铜冠铜箔,20220127,,,其他
688283.SH,坤恒顺维,20220127,,,其他
688171.SH,纬德信息,20220127,,,其他
603132.SH,金徽股份,20220127,,,其他
