ts_code,name,area,fullname,enname,cnspell,market,list_date
000001.SZ,平安银行,深圳,平安银行股份有限公司,"Ping An Bank Co., Ltd.",payh,主板,19910403
000002.SZ,万科A,深圳,万科企业股份有限公司,"China Vanke Co.,Ltd.",wka,主板,19910129
000004.SZ,国华网安,深圳,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",ghwa,主板,19910114
000005.SZ,ST星源,深圳,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,stxy,主板,19901210
000006.SZ,深振业A,深圳,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",szya,主板,19920427
000007.SZ,*ST全新,深圳,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",stqx,主板,19920413
000008.SZ,神州高铁,北京,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",szgt,主板,19920507
000009.SZ,中国宝安,深圳,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",zgba,主板,19910625
000010.SZ,美丽生态,深圳,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",mlst,主板,19951027
000011.SZ,深物业A,深圳,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,swya,主板,19920330
000012.SZ,南玻A,深圳,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",nba,主板,19920228
000014.SZ,沙河股份,深圳,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",shgf,主板,19920602
000016.SZ,深康佳A,深圳,康佳集团股份有限公司,"Konka Group Co.,Ltd",skja,主板,19920327
000017.SZ,深中华A,深圳,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,szha,主板,19920331
000019.SZ,深粮控股,深圳,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co.,Ltd.",slkg,主板,19921012
000020.SZ,深华发A,深圳,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",shfa,主板,19920428
000021.SZ,深科技,深圳,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",skj,主板,19940202
000023.SZ,深天地A,深圳,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd",stda,主板,19930429
000025.SZ,特力A,深圳,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",tla,主板,19930621
000026.SZ,飞亚达,深圳,飞亚达精密科技股份有限公司,"Fiyta Precision Technology Co., Ltd.",fyd,主板,19930603
000027.SZ,深圳能源,深圳,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",szny,主板,19930903
000028.SZ,国药一致,深圳,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,gyyz,主板,19930809
000029.SZ,深深房A,深圳,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",ssfa,主板,19930915
