ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
603997.SH,SSE,王义平,冯巅,李娜,111912.3994,20030711,浙江,宁波市,www.nb-jf.com,ir@nb-jf.com,17709.0
603086.SH,SSE,王现全,门亮,江广同,22188.6,20020920,山东,滨州市,www.cynda.cn,cynda@cynda.cn,1526.0
300537.SZ,SZSE,李有明,李有明,张启斌,19302.7584,20060512,江苏,无锡市,www.kuangshun.com,gxcl@kuangshun.com,807.0
300172.SZ,SZSE,王政福,朱来松,张维,67671.0,20010118,江苏,南京市,www.ce-ep.com,ceep@ce-ep.com;zhangwei.cec@163.com;qiujiayun1986@126.com,577.0
301086.SZ,SZSE,张定武,张定概,张思明,6000.0,20080213,广东,深圳市,www.hongfuhan.cn,ir@hongfuhan.cn,1244.0
603336.SH,SSE,黄俊辉,黄俊辉,黄暕,43867.9917,19921210,广东,汕头市,www.greatsunfoods.com,ird@greatsunfoods.com,614.0
603880.SH,SSE,李平,李平,李平,29247.4,19900704,江苏,常州市,www.nfmedical.com.cn,info@nanfangmedical.com,827.0
300345.SZ,SZSE,欧阳少红,欧阳少红,朱艳春,44129.5483,19950731,湖南,长沙市,www.huaminchina.cn,huamin@huaminchina.cn,306.0
300316.SZ,SZSE,曹建伟,何俊,陆晓雯,128647.4714,20061214,浙江,绍兴市,www.jsjd.cc,jsjd@jsjd.cc,2820.0
300499.SZ,SZSE,李琦,关胜利,梁清利,28080.4041,20010629,广东,广州市,www.goaland.com.cn,IR@goaland.com.cn;shilj@goaland.com.cn,1613.0
003019.SZ,SZSE,孙大明,李明芳,李滢雪,12800.0,20150414,福建,厦门市,www.tes-tec.com.cn,IR@tes-tec.com,676.0
002765.SZ,SZSE,朱堂福,朱俊翰,卞卫芹,58262.529,19960508,重庆,重庆市,www.cqld.com,landai@cqld.com,4002.0
688516.SH,SSE,葛志勇,葛志勇,周永秀,9867.0,20100201,江苏,无锡市,www.wxautowell.com,investor@wxautowell.com,1417.0
688032.SH,SSE,邵建雄,杨波,方光泉,4000.0,20120904,浙江,杭州市,www.hoymiles.com,dongmiban@hoymiles.com,548.0
838030.BJ,,段坤良,段坤良,易斈播,17883.9681,20100225,湖南,怀化市,www.hndzgf.com,HNDZGFGS@163.com;2351649450@qq.com,1592.0
300300.SZ,SZSE,曹阳,曹阳,叶兴波,67139.691,20021108,福建,福州市,www.hxcx.com.cn,hxcx@hxcx.com.cn;yexingbo@hakim.com.cn;linnanfang@hxcx.com.cn,375.0
002846.SZ,SZSE,翁伟武,翁宝嘉,夏红明,31839.3653,20060111,广东,汕头市,www.enpackcorp.com\www.stpack.com,zhengquan@enpackcorp.com,1310.0
002911.SZ,SZSE,尹祥,尹祥,卢志刚,94520.0,19930226,广东,佛山市,www.fsgas.com,bodoffice@fsgas.com;liying@fsgas.com,1923.0
300162.SZ,SZSE,李漫铁,李漫铁,左剑铭,34951.003,20040721,广东,深圳市,www.ledman.com,ledman@ledman.cn,1516.0
603037.SH,SSE,杨建刚,侯振坤,黄海,10490.135,20000731,上海,上海市,www.carthane.com,kaizhongdm@carthane.com;info@catthane.com,561.0
300971.SZ,SZSE,李文喜,李文喜,万涛,8400.0,19991116,湖北,襄阳市,www.fboya.com,boyabgs@163.com,702.0
