,ts_code,name_x,area,fullname,enname,cnspell,market,list_date,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees,company_abbr_name,name_y,industry,industry_1,industry_2,industry_3,industry_1_code,industry_2_code
0,600004.SH,白云机场,广东,广州白云国际机场股份有限公司,Guangzhou Baiyun International Airport Company Limited,byjc,主板,20030428,SSE,邱嘉臣,王晓勇,戚耀明,236671.8283,20000919,广东,广州市,www.baiyunport.com,600004@gdairport.com,11360.0,白云机场,白云机场,S420501,交通运输,机场,机场,S420000,S420500
1,600006.SH,东风汽车,湖北,东风汽车股份有限公司,Dongfeng Automobile Co.Lt,dfqc,主板,19990727,SSE,赵书良,李军智,周方平,200000.0,19990721,湖北,襄阳市,www.dfac.com,xiongsp@dfac.com;dfac@dfac.com;zhangbins@dfac.com;kegang@dfac.com,4957.0,东风汽车,东风汽车,S280102,汽车,汽车整车,商用载货车,S280000,S280100
2,600011.SH,华能国际,北京,华能国际电力股份有限公司,"Huaneng Power International,Inc.",hngj,主板,20011206,SSE,赵克宇,赵平,黄朝全,1569809.3359,19940630,北京,北京市,www.hpi.com.cn,cq_huang@hpi.com.cn;zqb@hpi.com.cn;zhutao@hpi.com.cn,57874.0,华能国际,华能国际,S410101,公用事业,电力,火电,S410000,S410100
3,600012.SH,皖通高速,安徽,安徽皖通高速公路股份有限公司,Anhui Expressway Company Limited,wtgs,主板,20030107,SSE,项小龙,陶文胜,董汇慧,165861.0,19960815,安徽,合肥市,www.anhui-expressway.net,wtgs@anhui-expressway.net,2030.0,皖通高速,皖通高速,S420201,交通运输,高速公路,高速公路,S420000,S420200
4,600016.SH,民生银行,北京,中国民生银行股份有限公司,"China Minsheng Banking Corp., Ltd.",msyh,主板,20001219,SSE,高迎欣,郑万春,白丹,4378241.8502,19960207,北京,北京市,www.cmbc.com.cn,cmbc@cmbc.com.cn,57090.0,民生银行,民生银行,S480101,银行,银行,银行,S480000,S480100
5,600017.SH,日照港,山东,日照港股份有限公司,"Rizhao Port Co.,Ltd.",rzg,主板,20061017,SSE,牟伟,高健,韦学勤,307565.3888,20020715,山东,日照市,www.rzpcl.com,rzpcl@rzport.com,5581.0,日 照 港,日照港,S420101,交通运输,港口,港口,S420000,S420100
6,600018.SH,上港集团,上海,上海国际港务(集团)股份有限公司,"Shanghai International Port (Group) Co., Ltd.",sgjt,主板,20061026,SSE,顾金山,严俊,丁向明,2327867.975,19881021,上海,上海市,www.portshanghai.com.cn,dongmi@portshanghai.com.cn;600018@portshanghai.com.cn,14068.0,上港集团,上港集团,S420101,交通运输,港口,港口,S420000,S420100
7,600022.SH,山东钢铁,山东,山东钢铁股份有限公司,Shandong Iron and Steel Company Ltd,sdgt,主板,20040629,SSE,王向东,吕铭,金立山,1094654.9616,20001229,山东,济南市,www.sdsteel.cc,sdgt600022@126.com,21398.0,山东钢铁,山东钢铁,S230101,钢铁,钢铁,普钢,S230000,S230100
8,600023.SH,浙能电力,浙江,浙江浙能电力股份有限公司,"Zhejiang Zheneng Electric Power CO.,LTD",zndl,主板,20131219,SSE,虞国平,曹路,曹路,1360068.9988,19920314,浙江,杭州市,www.zzepc.com.cn,zzep@zjenergy.com.cn,9322.0,浙能电力,浙能电力,S410101,公用事业,电力,火电,S410000,S410100
9,600025.SH,华能水电,云南,华能澜沧江水电股份有限公司,Huaneng Lancang River Hydropower Inc.,hnsd,主板,20171215,SSE,袁湘华,孙卫,邓炳超,1800000.0,20010208,云南,昆明市,www.hnlcj.cn,hnsd@lcjsd.cn;hnsd@lcjgs.chng.com.cn,3403.0,华能水电,华能水电,S410102,公用事业,电力,水电,S410000,S410100
10,600026.SH,中远海能,上海,中远海运能源运输股份有限公司,"Cosco Shipping Energy Transportation Co., Ltd.",zyhn,主板,20020523,SSE,任永强,朱迈进,倪艺丹,476269.1885,19960726,上海,上海市,energy.coscoshipping.com,ir.energy@coscoshipping.com,7398.0,中远海能,中远海能,S420601,交通运输,航运,航运,S420000,S420600
11,600029.SH,南方航空,广东,中国南方航空股份有限公司,China Southern Airlines Company Limited,nfhk,主板,20030725,SSE,马须伦,韩文胜,谢兵,1694844.0588,19950325,广东,广州市,www.csair.com,ir@csair.com,98347.0,南方航空,南方航空,S420401,交通运输,航空运输,航空运输,S420000,S420400
12,600033.SH,福建高速,福建,福建发展高速公路股份有限公司,"Fujian Expressway Development Co.,Ltd",fjgs,主板,20010209,SSE,程辛钱,方晓东,何高文,274440.0,19990628,福建,福州市,www.fjgs.com.cn,stock@fjgs.com.cn,1393.0,福建高速,福建高速,S420201,交通运输,高速公路,高速公路,S420000,S420200
13,600035.SH,楚天高速,湖北,湖北楚天智能交通股份有限公司,"Hubei Chutian Smart Communication Co.,Ltd.",ctgs,主板,20040310,SSE,王南军,阮一恒,罗琳,161011.5901,20001122,湖北,武汉市,www.hbctgs.com,600035@hbctgs.com,1744.0,楚天高速,楚天高速,S420201,交通运输,高速公路,高速公路,S420000,S420200
14,600038.SH,中直股份,黑龙江,中航直升机股份有限公司,Avicopter Plc.,zzgf,主板,20001218,SSE,闫灵喜,甘立伟,刘秉钧,58947.6716,19990730,黑龙江,哈尔滨市,avicopter.avic.com,liubingjun@avichina.com,11235.0,中直股份,中直股份,S650201,国防军工,航空装备,航空装备,S650000,S650200
15,600039.SH,四川路桥,四川,四川路桥建设集团股份有限公司,"Sichuan Road&Bridge Co.,Ltd",sclq,主板,20030325,SSE,熊国斌,甘洪,周勇,477543.0289,19991228,四川,成都市,www.scrbc.com.cn,srbcdsh@163.com,12642.0,四川路桥,四川路桥,S620302,建筑装饰,基础建设,路桥施工,S620000,S620300
16,600052.SH,东望时代,浙江,浙江东望时代科技股份有限公司,"Zhejiang Dongwang Times Technology Co., Ltd.",dwsd,主板,19970415,SSE,蒋旭峰,赵云池,姚炳峰,84419.4741,19930713,浙江,金华市,www.gsgf.com,Stock600052@gsgf.com,87.0,浙江广厦,浙江广厦,S430101,房地产,房地产开发,房地产开发,S430000,S430100
17,600053.SH,九鼎投资,江西,昆吾九鼎投资控股股份有限公司,"Kunwu Jiuding Investment Holdings Co., Ltd",jdtz,主板,19970418,SSE,康青山,康青山,易凌杰,43354.08,19970414,江西,南昌市,www.jdcapital.com,600053@jdcapital.com,260.0,九鼎投资,九鼎投资,S490301,非银金融,多元金融,多元金融,S490000,S490300
18,600055.SH,万东医疗,北京,北京万东医疗科技股份有限公司,"Beijing Wandong Medical Technology Co., Ltd.",wdyl,主板,19970519,SSE,胡自强,谢宇峰,任志林,54081.6199,19970512,北京,北京市,www.wandong.com.cn,wdyL055@263.net.cn;wdmed@public.bta.net.cn,814.0,万东医疗,万东医疗,S370501,医药生物,医疗器械,医疗器械,S370000,S370500
19,600056.SH,中国医药,北京,中国医药健康产业股份有限公司,"China Meheco Group Co., Ltd.",zgyy,主板,19970515,SSE,李亚东,王宏新,袁精华,106848.5534,19970508,北京,北京市,www.meheco.com,Meheco600056@meheco.com.cn,9209.0,中国医药,中国医药,S370401,医药生物,医药商业,医药商业,S370000,S370400
20,600057.SH,厦门象屿,福建,厦门象屿股份有限公司,"Xiamen Xiangyu Co., Ltd.",xmxy,主板,19970604,SSE,邓启东,齐卫东,廖杰,215745.4085,19970523,福建,厦门市,www.xiangyu.cn,stock@xiangyu.cn,5799.0,厦门象屿,厦门象屿,S420801,交通运输,物流,物流,S420000,S420800
21,600061.SH,国投资本,上海,国投资本股份有限公司,"SDIC Capital Co., Ltd",gtzb,主板,19970519,SSE,叶柏寿,李樱,姚肇欣,642530.1287,19970513,上海,上海市,www.sdiccapital.com,600061@sdic.com.cn,6447.0,国投资本,国投资本,S490101,非银金融,证券,证券,S490000,S490100
22,600062.SH,华润双鹤,北京,华润双鹤药业股份有限公司,"China Resources Double-Crane Pharmaceutical Co.,Ltd.",hrsh,主板,19970522,SSE,于顺廷,于顺廷,范彦喜,104323.771,19970516,北京,北京市,www.dcpc.com,mss@dcpc.com,11351.0,华润双鹤,华润双鹤,S370102,医药生物,化学制药,化学制剂,S370000,S370100
23,600071.SH,凤凰光学,江西,凤凰光学股份有限公司,Phenix Optics Company Limited,fhgx,主板,19970528,SSE,陈宗年,刘翔,谢会超,28157.3889,19970523,江西,上饶市,www.phenixoptics.com.cn,huichaox@phenixoptics.com.cn;mingfangw@phenixoptics.com.cn,3083.0,凤凰光学,凤凰光学,S270401,电子,其他电子,其他电子,S270000,S270400
24,600072.SH,中船科技,上海,中船科技股份有限公司,"CSSC Science & Technology Co., Ltd",zckj,主板,19970603,SSE,周辉,周辉,黄来和,73624.9883,19970528,上海,上海市,www.cssckj.com,mail@cssckj.com,1609.0,中船科技,中船科技,S650401,国防军工,船舶制造,船舶制造,S650000,S650400
25,600075.SH,新疆天业,新疆,新疆天业股份有限公司,"Xinjiang Tianye Co.,Ltd.",xjty,主板,19970617,SSE,周军,关刚,李升龙,170735.426,19970609,新疆,石河子市,www.xj-tianye.com,Lishenglong11223@163.com;xjty_zqb@126.com;master@xj-tianye.com,6223.0,新疆天业,新疆天业,S220202,化工,化学原料,氯碱,S220000,S220200
26,600076.SH,康欣新材,山东,康欣新材料股份有限公司,"Kangxin New Materials Co.,Ltd",kxxc,主板,19970526,SSE,邵建东,郭志先,牟儆,134454.3367,19930901,山东,潍坊市,www.hbkangxin.com.cn,zqbir@hbkangxin.cn,839.0,康欣新材,康欣新材,S360201,轻工制造,包装印刷,包装印刷,S360000,S360200
27,600077.SH,宋都股份,浙江,宋都基业投资股份有限公司,"Sundy Land Investment Co., Ltd",sdgf,主板,19970520,SSE,俞建午,俞建午,郑羲亮,134012.2326,19990322,浙江,杭州市,www.songdu.com,600077@songdu.com,1036.0,宋都股份,宋都股份,S430101,房地产,房地产开发,房地产开发,S430000,S430100
